participant_id,level_name,game_batch,game_id,trial_id,human_conf,human_AI_conf,AI_conf,Ai_calibrated_conf,true_prob,nr_reds_shown,initial_decision,final_decision,outcome,win,points
669ea29ca1359,level_A,0,9,7,82,44,38,,50.76923076923077,17,Red,Red,Black,-1,4
669ea29ca1359,level_A,0,22,8,70,85,92,,86.15384615384616,15,Red,Red,Red,1,5
669ea29ca1359,level_A,0,5,9,65,12,23,,35.38461538461539,13,Red,Black,Black,1,6
669ea29ca1359,level_A,0,14,10,63,63,62,,49.23076923076923,6,Red,Red,Black,-1,5
669ea29ca1359,level_A,0,20,11,76,76,85,,72.3076923076923,11,Red,Red,Black,-1,4
669ea29ca1359,level_A,0,1,12,32,16,8,,13.846153846153848,6,Red,Black,Red,-1,3
669ea29ca1359,level_A,0,16,13,26,21,69,,56.92307692307692,2,Black,Black,Red,-1,2
669ea29ca1359,level_A,0,-1,14,100,100,100,,100.0,21,Red,Red,Red,1,3
669ea29ca1359,level_A,0,10,15,19,19,46,,33.84615384615385,1,Black,Black,Red,-1,2
669ea29ca1359,level_A,0,4,16,0,0,23,,10.76923076923077,0,Black,Black,Black,1,3
669ea29ca1359,level_A,0,0,17,0,0,8,,1.5384615384615383,0,Black,Black,Black,1,4
669ea29ca1359,level_A,0,2,18,0,0,15,,3.076923076923077,0,Black,Black,Black,1,5
669ea29ca1359,level_A,0,3,19,54,27,15,,27.692307692307693,13,Red,Black,Black,1,6
669ea29ca1359,level_A,0,12,20,6,6,54,,41.53846153846154,1,Black,Black,Red,-1,5
669ea29ca1359,level_A,0,23,21,100,100,92,,98.46153846153848,21,Red,Red,Red,1,6
669ea29ca1359,level_A,0,21,22,100,100,85,,96.92307692307692,20,Red,Red,Red,1,7
669ea29ca1359,level_A,0,17,23,68,68,69,,81.53846153846153,18,Red,Red,Red,1,8
669ea29ca1359,level_A,0,8,24,89,4,38,,26.15384615384616,2,Black,Black,Black,1,9
669ea29ca1359,level_A,0,13,25,47,63,54,,66.15384615384615,16,Red,Red,Red,1,10
669ea29ca1359,level_A,0,18,26,20,13,77,,64.61538461538461,6,Black,Black,Red,-1,9
669ea2e5dc218,level_A,8,-2,0,0,0,0,,0.0,0,Black,Black,Black,1,1
669ea2e5dc218,level_A,8,-3,1,70,58,54,,60.0,14,Red,Red,Red,1,2
669ea2e5dc218,level_A,8,197,2,38,29,23,,35.38461538461539,12,Black,Black,Black,1,3
669ea2e5dc218,level_A,8,199,3,39,39,31,,43.07692307692308,11,Black,Black,Black,1,4
669ea2e5dc218,level_A,8,192,4,0,0,8,,1.5384615384615383,0,Black,Black,Black,1,5
669ea2e5dc218,level_A,8,196,5,2,2,23,,10.76923076923077,1,Black,Black,Black,1,6
669ea2e5dc218,level_A,8,194,6,0,0,15,,3.076923076923077,0,Black,Black,Black,1,7
669ea2e5dc218,level_A,8,201,7,61,61,38,,50.76923076923077,15,Red,Red,Red,1,8
669ea2e5dc218,level_A,8,203,8,45,45,46,,58.46153846153847,13,Black,Black,Red,-1,7
669ea2e5dc218,level_A,8,202,9,3,5,46,,33.84615384615385,4,Black,Black,Black,1,8
669ea2e5dc218,level_A,8,211,10,89,81,77,,89.23076923076924,20,Red,Red,Red,1,9
669ea2e5dc218,level_A,8,209,11,100,100,69,,81.53846153846153,21,Red,Red,Red,1,10
669ea2e5dc218,level_A,8,205,12,81,81,54,,66.15384615384615,17,Red,Red,Red,1,11
669ea2e5dc218,level_A,8,193,13,48,48,8,,13.846153846153848,7,Black,Black,Black,1,12
669ea2e5dc218,level_A,8,-1,14,100,100,100,,100.0,21,Red,Red,Red,1,13
669ea2e5dc218,level_A,8,208,15,27,27,69,,56.92307692307692,7,Black,Black,Black,1,14
669ea2e5dc218,level_A,8,206,16,26,26,62,,49.23076923076923,6,Black,Black,Black,1,15
669ea2e5dc218,level_A,8,195,17,50,50,15,,27.692307692307693,12,Red,Red,Black,-1,14
669ea2e5dc218,level_A,8,214,18,69,69,92,,86.15384615384616,15,Red,Red,Black,-1,13
669ea2e5dc218,level_A,8,215,19,100,100,92,,98.46153846153848,21,Red,Red,Red,1,14
669ea2e5dc218,level_A,8,212,20,72,72,85,,72.3076923076923,11,Red,Red,Black,-1,13
669ea2e5dc218,level_A,8,210,21,29,29,77,,64.61538461538461,10,Black,Black,Red,-1,12
669ea2e5dc218,level_A,8,204,22,8,8,54,,41.53846153846154,4,Black,Black,Black,1,13
669ea2e5dc218,level_A,8,207,23,89,89,62,,73.84615384615385,17,Red,Red,Red,1,14
669ea2e5dc218,level_A,8,200,24,3,3,38,,26.15384615384616,1,Black,Black,Red,-1,13
669ea2e5dc218,level_A,8,213,25,14,14,85,,96.92307692307692,19,Red,Red,Red,1,14
669ea2e5dc218,level_A,8,198,26,5,5,31,,18.461538461538463,1,Black,Black,Black,1,15
669ea30b5f254,level_A,11,-2,0,18,83,0,,0.0,0,Black,Red,Black,-1,-1
669ea30b5f254,level_A,11,-3,1,79,85,54,,60.0,14,Red,Red,Black,-1,-2
669ea30b5f254,level_A,11,285,2,81,91,85,,96.92307692307692,21,Red,Red,Red,1,-1
669ea30b5f254,level_A,11,281,3,89,69,69,,81.53846153846153,20,Red,Red,Red,1,0
669ea30b5f254,level_A,11,271,4,74,32,31,,43.07692307692308,14,Red,Black,Black,1,1
669ea30b5f254,level_A,11,283,5,90,85,77,,89.23076923076924,20,Red,Red,Red,1,2
669ea30b5f254,level_A,11,265,6,38,17,8,,13.846153846153848,7,Black,Black,Black,1,3
669ea30b5f254,level_A,11,276,7,27,47,54,,41.53846153846154,3,Black,Black,Red,-1,2
669ea30b5f254,level_A,11,266,8,21,10,15,,3.076923076923077,0,Black,Black,Black,1,3
669ea30b5f254,level_A,11,268,9,10,12,23,,10.76923076923077,1,Black,Black,Black,1,4
669ea30b5f254,level_A,11,272,10,31,36,38,,26.15384615384616,5,Black,Black,Black,1,5
669ea30b5f254,level_A,11,282,11,55,76,77,,64.61538461538461,10,Red,Red,Red,1,6
669ea30b5f254,level_A,11,287,12,80,85,92,,98.46153846153848,21,Red,Red,Red,1,7
669ea30b5f254,level_A,11,277,13,73,54,54,,66.15384615384615,19,Red,Red,Red,1,8
